epoch,lr-AdamW,step,test/auc,test/cold_auc,test/cold_hr@10,test/cold_hr@100,test/cold_hr@200,test/cold_hr@50,test/cold_mrr,test/cold_mrr_corrected,test/cold_ndcg@10,test/cold_ndcg@100,test/cold_ndcg@200,test/cold_ndcg@50,test/few_hr@10,test/few_hr@100,test/few_hr@200,test/few_hr@50,test/few_ndcg@10,test/few_ndcg@100,test/few_ndcg@200,test/few_ndcg@50,test/hr@10,test/hr@100,test/hr@200,test/hr@50,test/mrr,test/mrr_corrected,test/ndcg@10,test/ndcg@100,test/ndcg@200,test/ndcg@50,test/warm_auc,test/warm_hr@10,test/warm_hr@100,test/warm_hr@200,test/warm_hr@50,test/warm_mrr,test/warm_mrr_corrected,test/warm_ndcg@10,test/warm_ndcg@100,test/warm_ndcg@200,test/warm_ndcg@50,test/zero_hr@10,test/zero_hr@100,test/zero_hr@200,test/zero_hr@50,test/zero_ndcg@10,test/zero_ndcg@100,test/zero_ndcg@200,test/zero_ndcg@50,train/loss_epoch,train/loss_step,val/auc,val/cold_auc,val/cold_hr@10,val/cold_hr@100,val/cold_hr@200,val/cold_hr@50,val/cold_mrr,val/cold_mrr_corrected,val/cold_ndcg@10,val/cold_ndcg@100,val/cold_ndcg@200,val/cold_ndcg@50,val/few_hr@10,val/few_hr@100,val/few_hr@200,val/few_hr@50,val/few_ndcg@10,val/few_ndcg@100,val/few_ndcg@200,val/few_ndcg@50,val/hr@10,val/hr@100,val/hr@200,val/hr@50,val/mrr,val/mrr_corrected,val/ndcg@10,val/ndcg@100,val/ndcg@200,val/ndcg@50,val/warm_auc,val/warm_hr@10,val/warm_hr@100,val/warm_hr@200,val/warm_hr@50,val/warm_mrr,val/warm_mrr_corrected,val/warm_ndcg@10,val/warm_ndcg@100,val/warm_ndcg@200,val/warm_ndcg@50,val/zero_hr@10,val/zero_hr@100,val/zero_hr@200,val/zero_hr@50,val/zero_ndcg@10,val/zero_ndcg@100,val/zero_ndcg@200,val/zero_ndcg@50
0,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7116726636886597,0.5931801199913025,0.0,0.04954128339886665,0.09541284292936325,0.00917431153357029,0.005634177941828966,0.0011337446048855782,0.0,0.008261596783995628,0.014595500193536282,0.001779016456566751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01870860904455185,0.14139072597026825,0.216059610247612,0.08592715114355087,0.013498242013156414,0.009598040953278542,0.008629747666418552,0.03160881623625755,0.042072705924510956,0.022659245878458023,0.7234249114990234,0.02056414820253849,0.15050044655799866,0.22802546620368958,0.09353958070278168,0.014278207905590534,0.010437537916004658,0.009485654532909393,0.0339244119822979,0.04479792341589928,0.024730170145630836,0.0,0.04936014860868454,0.09506398439407349,0.009140768088400364,0.0,0.00823139026761055,0.014542133547365665,0.0017725118668749928
0,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.715702533721924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.001,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.508396148681641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7645779848098755,0.5939600467681885,0.0,0.020183486863970757,0.04403669759631157,0.0,0.005201586987823248,0.00044555062777362764,0.0,0.0032241414301097393,0.006585410796105862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03758278116583824,0.20264901220798492,0.30115893483161926,0.1304635852575302,0.021206028759479523,0.01772920973598957,0.01799679920077324,0.04944632947444916,0.06317754834890366,0.037817105650901794,0.7815000414848328,0.041310280561447144,0.22074612975120544,0.3266606032848358,0.143403097987175,0.022793367505073547,0.019443420693278313,0.01978174038231373,0.05403069779276848,0.06879042088985443,0.0415678434073925,0.0,0.020109690725803375,0.04387568682432175,0.0,0.0,0.0032123529817909002,0.00656133284792304,0.0
1,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.390300273895264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.001,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.201196670532227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8001942038536072,0.5815922617912292,0.0036697247996926308,0.01834862306714058,0.04220183566212654,0.0073394495993852615,0.007622914854437113,0.002857750281691551,0.002752293599769473,0.005209042690694332,0.008501864969730377,0.0034680780954658985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045695364475250244,0.22003310918807983,0.33692052960395813,0.14188742637634277,0.024067271500825882,0.020768366754055023,0.02192891202867031,0.05505336448550224,0.07132720947265625,0.042447011917829514,0.821875274181366,0.049863509833812714,0.24003639817237854,0.36615103483200073,0.1552320271730423,0.025698235258460045,0.022544758394360542,0.02383086457848549,0.05999698117375374,0.07755828648805618,0.046312980353832245,0.0036563072353601456,0.018281536176800728,0.04204753413796425,0.007312614470720291,0.002742230426520109,0.005189997144043446,0.008470780216157436,0.0034553976729512215
2,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1294660568237305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.001,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0732927322387695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8079325556755066,0.5819938778877258,0.0036697247996926308,0.020183486863970757,0.055045872926712036,0.012844037264585495,0.007773059885948896,0.003071795217692852,0.002752293599769473,0.005702780559659004,0.010581283830106258,0.004552628844976425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04867549613118172,0.2349337786436081,0.35132449865341187,0.15215231478214264,0.025623438879847527,0.02239619381725788,0.02351219207048416,0.059050969779491425,0.07529044151306152,0.045677442103624344,0.8303413987159729,0.05313921719789505,0.25623294711112976,0.3807097375392914,0.16596905887126923,0.027393855154514313,0.024312809109687805,0.025571180507540703,0.06434209644794464,0.08170836418867111,0.0497562475502491,0.0036563072353601456,0.020109690725803375,0.05484461039304733,0.01279707532376051,0.002742230426520109,0.005681929644197226,0.010542594827711582,0.004535982850939035
