epoch,lr-AdamW,step,test/auc,test/cold_auc,test/cold_hr@10,test/cold_hr@100,test/cold_hr@200,test/cold_hr@50,test/cold_mrr,test/cold_mrr_corrected,test/cold_ndcg@10,test/cold_ndcg@100,test/cold_ndcg@200,test/cold_ndcg@50,test/few_hr@10,test/few_hr@100,test/few_hr@200,test/few_hr@50,test/few_ndcg@10,test/few_ndcg@100,test/few_ndcg@200,test/few_ndcg@50,test/hr@10,test/hr@100,test/hr@200,test/hr@50,test/mrr,test/mrr_corrected,test/ndcg@10,test/ndcg@100,test/ndcg@200,test/ndcg@50,test/warm_auc,test/warm_hr@10,test/warm_hr@100,test/warm_hr@200,test/warm_hr@50,test/warm_mrr,test/warm_mrr_corrected,test/warm_ndcg@10,test/warm_ndcg@100,test/warm_ndcg@200,test/warm_ndcg@50,test/zero_hr@10,test/zero_hr@100,test/zero_hr@200,test/zero_hr@50,test/zero_ndcg@10,test/zero_ndcg@100,test/zero_ndcg@200,test/zero_ndcg@50,train/loss_epoch,train/loss_step,val/auc,val/cold_auc,val/cold_hr@10,val/cold_hr@100,val/cold_hr@200,val/cold_hr@50,val/cold_mrr,val/cold_mrr_corrected,val/cold_ndcg@10,val/cold_ndcg@100,val/cold_ndcg@200,val/cold_ndcg@50,val/few_hr@10,val/few_hr@100,val/few_hr@200,val/few_hr@50,val/few_ndcg@10,val/few_ndcg@100,val/few_ndcg@200,val/few_ndcg@50,val/hr@10,val/hr@100,val/hr@200,val/hr@50,val/mrr,val/mrr_corrected,val/ndcg@10,val/ndcg@100,val/ndcg@200,val/ndcg@50,val/warm_auc,val/warm_hr@10,val/warm_hr@100,val/warm_hr@200,val/warm_hr@50,val/warm_mrr,val/warm_mrr_corrected,val/warm_ndcg@10,val/warm_ndcg@100,val/warm_ndcg@200,val/warm_ndcg@50,val/zero_hr@10,val/zero_hr@100,val/zero_hr@200,val/zero_hr@50,val/zero_ndcg@10,val/zero_ndcg@100,val/zero_ndcg@200,val/zero_ndcg@50
0,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7413316369056702,0.6630786657333374,0.012844037264585495,0.0990825667977333,0.1651376187801361,0.05137614905834198,0.010743957944214344,0.006590414326637983,0.005702527239918709,0.02191963605582714,0.0311366505920887,0.014134131371974945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0374172180891037,0.183609277009964,0.26837748289108276,0.11970198899507523,0.021035589277744293,0.01739567704498768,0.018214240670204163,0.04597955197095871,0.057806018739938736,0.0356065034866333,0.7490928173065186,0.03985441103577614,0.19199271500110626,0.27861690521240234,0.12647861242294312,0.022056324407458305,0.018467353656888008,0.019455164670944214,0.048365846276283264,0.060451116412878036,0.03773615509271622,0.01279707532376051,0.09872029721736908,0.1645338237285614,0.05118830129504204,0.005681677255779505,0.02183949202299118,0.031022807583212852,0.014082453213632107
0,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.686861515045166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.001,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.436800003051758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.784794807434082,0.6875830292701721,0.01651376113295555,0.10458716005086899,0.18899083137512207,0.06055045872926712,0.013062958605587482,0.009028086438775063,0.008292223326861858,0.02493029460310936,0.036552052944898605,0.017780905589461327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0478476844727993,0.2230132520198822,0.32963576912879944,0.15149006247520447,0.0275671798735857,0.024232039228081703,0.024906184524297714,0.05868558585643768,0.07357335835695267,0.047103650867938995,0.7944363355636597,0.05095541477203369,0.2347588688135147,0.3435850739479065,0.16050955653190613,0.02900572679936886,0.02573998086154461,0.02655397541821003,0.06203347072005272,0.07724516838788986,0.05001191049814224,0.01645338162779808,0.10420475900173187,0.18829981982707977,0.06032906845211983,0.008261905051767826,0.024839144200086594,0.036418408155441284,0.01771589368581772
1,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2475128173828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.001,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.075430870056152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8119736313819885,0.6685579419136047,0.031192660331726074,0.0990825667977333,0.18899083137512207,0.05871559679508209,0.014598903246223927,0.010564032010734081,0.013456068933010101,0.02562679909169674,0.03808806091547012,0.019128089770674706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06241722032427788,0.27251654863357544,0.3970198631286621,0.18625828623771667,0.033479250967502594,0.030479351058602333,0.032222405076026917,0.07250506430864334,0.08982665091753006,0.05857729911804199,0.8261978030204773,0.06551410257816315,0.2897179126739502,0.4176523983478546,0.19890809059143066,0.03535182401537895,0.03245457261800766,0.03408367186784744,0.0771545022726059,0.09495814144611359,0.06248991936445236,0.031078610569238663,0.09872029721736908,0.18829981982707977,0.05850091576576233,0.013406870886683464,0.025533098727464676,0.03794880211353302,0.01905815117061138
2,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02793550491333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
